ID_RA,Nome_RA,Populacao_2022
I,Portuária,47344
II,Centro,32758
III,Rio Comprido,80096
IV,Botafogo,213891
V,Copacabana,141398
VI,Lagoa,148675
VII,São Cristóvão,82122
VIII,Tijuca,159372
IX,Vila Isabel,156680
X,Ramos,131402
XI,Penha,133759
XII,Inhaúma,123797
XIII,Méier,353827
XIV,Irajá,189076
XV,Madureira,304914
XVI,Jacarepaguá,669542
XVII,Bangu,422702
XVIII,Campo Grande,601281
XIX,Santa Cruz,412752
XX,Ilha do Governador,184674
XXI,Paquetá,3486
XXII,Anchieta,142720
XXIII,Santa Teresa,36252
XXIV,Barra da Tijuca,405765
XXV,Pavuna,206728
XXVI,Guaratiba,176929
XXVII,Rocinha,70894
XXVIII,Jacarezinho,35348
XXIX,Complexo do Alemão,54202
XXX,Maré,124832
XXXI,Vigário Geral,107013
XXXIII,Realengo,226679
XXXIV,Cidade de Deus,30313
