ID_RA,Nome_RA,IPS_2024
I,Portuaria,52.76
II,Centro,57.66
III,Rio Comprido,63.92
IV,Botafogo,89.09
V,Copacabana,84.1
VI,Lagoa,85.58
VII,São Cristovão,59.13
VIII,Tijuca,79.51
IX,Vila Isabel,75.74
X,Ramos,62.52
XI,Penha,63.18
XII,Inhaúma,62.56
XIII,Méier,68.99
XIV,Iraja,65.82
XV,Madureira,58.67
XVI,Jacarepaguá,64.01
XVII,Bangu,57.47
XVIII,Campo Grande,62.45
XIX,Santa Cruz,51.79
XX,Ilha Do Governador,71.83
XXII,Anchieta,63.03
XXIII,Santa Teresa,68.25
XXIV,Barra Da Tijuca,69.93
XXV,Pavuna,52.18
XXVI,Guaratiba,47.37
XXVII,Rocinha,57.24
XXVIII,Jacarezinho,51.28
XXIX,Complexo Do Alemão,53.34
XXX,Maré,58.62
XXXI,Vigário Geral,60.86
XXXIII,Realengo,60.48
XXXIV,Cidade De Deus,48.34
