regiao_adm;codra;ra;rp;cod_rp;ap;area_plane;Populacao Residente/2022
ANCHIETA;22;XXII Anchieta;Pavuna;4;Área de Planejamento 3;3;142720
BANGU;17;XVII Bangu;Bangu;5;Área de Planejamento 5;5;422702
BARRA DA TIJUCA;24;XXIV Barra da Tijuca;Barra da Tijuca;4;Área de Planejamento 4;4;405765
BOTAFOGO;4;IV Botafogo;Zona Sul;2;Área de Planejamento 2;2;213891
CAMPO GRANDE;18;XVIII Campo Grande;Campo Grande;5;Área de Planejamento 5;5;601281
CENTRO;2;II Centro;Centro;1;Área de Planejamento 1;1;32758
CIDADE DE DEUS;34;XXXIV Cidade de Deus;Jacarepaguá;4;Área de Planejamento 4;4;30313
COMPLEXO DA MARE;30;XXX Maré;Ramos;3;Área de Planejamento 3;3;124832
COMPLEXO DO ALEMÃO;29;XXIX Complexo do Alemão;Inhaúma;3;Área de Planejamento 3;3;54202
COPACABANA;5;V Copacabana;Zona Sul;2;Área de Planejamento 2;2;141398
GUARATIBA;26;XXVI Guaratiba;Guaratiba;5;Área de Planejamento 5;5;176929
ILHA DO GOVERNADOR;20;XX Ilha do Governador;Ilha do Governador;4;Área de Planejamento 3;3;184674
INHAUMA;12;XII Inhaúma;Inhaúma;3;Área de Planejamento 3;3;123797
IRAJA;14;XIV Irajá;Madureira;3;Área de Planejamento 3;3;189076
JACAREPAGUA;16;XVI Jacarepaguá;Jacarepaguá;4;Área de Planejamento 4;4;669542
JACAREZINHO;28;XXVIII Jacarezinho;Méier;3;Área de Planejamento 3;3;35348
LAGOA;6;VI Lagoa;Zona Sul;2;Área de Planejamento 2;2;148675
MADUREIRA;15;XV Madureira;Madureira;3;Área de Planejamento 3;3;304914
MEIER;13;XIII Méier;Méier;3;Área de Planejamento 3;3;353827
PAQUETA;21;XXI Paquetá;Centro;1;Área de Planejamento 1;1;3486
PAVUNA;25;XXV Pavuna;Pavuna;4;Área de Planejamento 3;3;206728
PENHA;11;XI Penha;Penha;4;Área de Planejamento 3;3;133759
PORTUARIA;1;I Portuária;Centro;1;Área de Planejamento 1;1;47344
RAMOS;10;XX Ramos;Ramos;3;Área de Planejamento 3;3;131402
REALENGO;33;XXXIII Realengo;Bangu;5;Área de Planejamento 5;5;226679
RIO COMPRIDO;3;III Rio Comprido;Centro;1;Área de Planejamento 1;1;80096
ROCINHA;27;XXVII Rocinha;Zona Sul;2;Área de Planejamento 2;2;70894
SANTA CRUZ;19;XIX Santa Cruz;Santa Cruz;5;Área de Planejamento 5;5;412752
SANTA TEREZA;23;XXIII Santa Teresa;Centro;1;Área de Planejamento 1;1;36252
SAO CRISTOVAO;7;VII São Cristóvão;Centro;1;Área de Planejamento 1;1;82122
TIJUCA;8;VIII Tijuca;Tijuca;2;Área de Planejamento 2;2;159372
VIGARIO GERAL;31;XXXI Vigário Geral;Penha;4;Área de Planejamento 3;3;107013
VILA ISABEL;9;IX Vila Isabel;Tijuca;2;Área de Planejamento 2;2;156680
