Orcamento_RS,Estudo_de_Caso,Metodo,Criterio,FO_valor,N_RAs,Tempo_computacional_s
20000000,EC1,MILP,C1_CasosAbsolutos,45125.0,19,0.068743
20000000,,Heuristica_Gulosa,C1_CasosAbsolutos,30379.0,7,0.001499
20000000,EC2,MILP,C2_CasosRelativos,0.3894,22,0.032624
20000000,,Heuristica_Gulosa,C2_CasosRelativos,0.2883,12,0.001229
20000000,EC3,MILP,C3_Populacao,2915283.0,22,0.042678
20000000,,Heuristica_Gulosa,C3_Populacao,1816642.0,5,0.001578
20000000,EC4,MILP,C4_Vulnerabilidade,14.243,21,0.040005
20000000,,Heuristica_Gulosa,C4_Vulnerabilidade,7.0168,8,0.001645
20000000,EC5,MILP,FO_Agregada_SAW,7.1549,22,0.041139
20000000,,Heuristica_Gulosa,FO_Agregada_SAW,3.2066,7,0.001837
40000000,EC1,MILP,C1_CasosAbsolutos,67374.0,26,0.046889
40000000,,Heuristica_Gulosa,C1_CasosAbsolutos,38562.0,6,0.001616
40000000,EC2,MILP,C2_CasosRelativos,0.4555,27,0.03688
40000000,,Heuristica_Gulosa,C2_CasosRelativos,0.3613,17,0.001334
40000000,EC3,MILP,C3_Populacao,4236651.0,25,0.03816
40000000,,Heuristica_Gulosa,C3_Populacao,2247675.0,5,0.001344
40000000,EC4,MILP,C4_Vulnerabilidade,16.4106,24,0.039442
40000000,,Heuristica_Gulosa,C4_Vulnerabilidade,13.3945,17,0.001253
40000000,EC5,MILP,FO_Agregada_SAW,8.9237,26,0.036361
40000000,,Heuristica_Gulosa,FO_Agregada_SAW,3.3807,6,0.001698
60000000,EC1,MILP,C1_CasosAbsolutos,81459.0,28,0.053371
60000000,,Heuristica_Gulosa,C1_CasosAbsolutos,60033.0,11,0.002025
60000000,EC2,MILP,C2_CasosRelativos,0.4975,29,0.03733
60000000,,Heuristica_Gulosa,C2_CasosRelativos,0.4651,24,0.002643
60000000,EC3,MILP,C3_Populacao,5212291.0,29,0.037432
60000000,,Heuristica_Gulosa,C3_Populacao,3591402.0,9,0.001863
60000000,EC4,MILP,C4_Vulnerabilidade,17.948,27,0.03344
60000000,,Heuristica_Gulosa,C4_Vulnerabilidade,17.1414,24,0.001424
60000000,EC5,MILP,FO_Agregada_SAW,10.1697,29,0.031722
60000000,,Heuristica_Gulosa,FO_Agregada_SAW,6.5439,14,0.001502
80000000,EC1,MILP,C1_CasosAbsolutos,91999.0,30,0.052827
80000000,,Heuristica_Gulosa,C1_CasosAbsolutos,73389.0,17,0.001678
80000000,EC2,MILP,C2_CasosRelativos,0.5188,30,0.043056
80000000,,Heuristica_Gulosa,C2_CasosRelativos,0.4866,25,0.002102
80000000,EC3,MILP,C3_Populacao,5824092.0,29,0.047641
80000000,,Heuristica_Gulosa,C3_Populacao,5454466.0,21,0.001974
80000000,EC4,MILP,C4_Vulnerabilidade,19.0681,28,0.037989
80000000,,Heuristica_Gulosa,C4_Vulnerabilidade,19.0681,28,0.001501
80000000,EC5,MILP,FO_Agregada_SAW,11.0674,30,0.037757
80000000,,Heuristica_Gulosa,FO_Agregada_SAW,8.3365,19,0.002089
100000000,EC1,MILP,C1_CasosAbsolutos,98620.0,32,0.042423
100000000,,Heuristica_Gulosa,C1_CasosAbsolutos,98620.0,32,0.002707
100000000,EC2,MILP,C2_CasosRelativos,0.5429,32,0.031172
100000000,,Heuristica_Gulosa,C2_CasosRelativos,0.5429,32,0.002366
100000000,EC3,MILP,C3_Populacao,6207737.0,32,0.048559
100000000,,Heuristica_Gulosa,C3_Populacao,6207737.0,32,0.002402
100000000,EC4,MILP,C4_Vulnerabilidade,19.7311,31,0.026669
100000000,,Heuristica_Gulosa,C4_Vulnerabilidade,19.7311,32,0.001984
100000000,EC5,MILP,FO_Agregada_SAW,11.7418,32,0.027473
100000000,,Heuristica_Gulosa,FO_Agregada_SAW,11.7418,32,0.00193
