Orcamento_RS,Estudo_de_Caso,FO,Metodo,N_RAs,Valor_FO_total,Custo_usado_RS,Uso_orcamento_pct,Casos_beneficiados,Pop_beneficiada,Tempo_computacional_s,Jaccard_vs_MILP,Ganho_pct_MILP_FO,Ganho_pct_MILP_Casos
20000000,EC1,C1_CasosAbsolutos,MILP,19,45125.0,19987664.0,99.9,45125,2684089,0.068743,1.0,0.0,0.0
20000000,,C1_CasosAbsolutos,Heuristica_Gulosa,7,30379.0,19946888.0,99.7,30379,1666978,0.001499,0.238,48.54,48.54
20000000,EC2,C2_CasosRelativos,MILP,22,0.3894,19897000.0,99.5,42714,2572160,0.032624,1.0,0.0,0.0
20000000,,C2_CasosRelativos,Heuristica_Gulosa,12,0.2883,19973016.0,99.9,30900,1362058,0.001229,0.478,35.07,38.23
20000000,EC3,C3_Populacao,MILP,22,2915283.0,19874376.0,99.4,44828,2915283,0.042678,1.0,0.0,0.0
20000000,,C3_Populacao,Heuristica_Gulosa,5,1816642.0,19945856.0,99.7,23358,1816642,0.001578,0.125,60.48,91.92
20000000,EC4,C4_Vulnerabilidade,MILP,21,14.243,19845296.0,99.2,41281,2654350,0.040005,1.0,0.0,0.0
20000000,,C4_Vulnerabilidade,Heuristica_Gulosa,8,7.0168,19781232.0,98.9,15974,1044460,0.001645,0.318,102.98,158.43
20000000,EC5,FO_Agregada_SAW,MILP,22,7.1549,19925976.0,99.6,43854,2806643,0.041139,1.0,0.0,0.0
20000000,,FO_Agregada_SAW,Heuristica_Gulosa,7,3.2066,19982248.0,99.9,30027,1623100,0.001837,0.208,123.13,46.05
40000000,EC1,C1_CasosAbsolutos,MILP,26,67374.0,39715168.0,99.3,67374,4156698,0.046889,1.0,0.0,0.0
40000000,,C1_CasosAbsolutos,Heuristica_Gulosa,6,38562.0,39939240.0,99.8,38562,2231373,0.001616,0.143,74.72,74.72
40000000,EC2,C2_CasosRelativos,MILP,27,0.4555,36361104.0,90.9,60540,3941468,0.03688,1.0,0.0,0.0
40000000,,C2_CasosRelativos,Heuristica_Gulosa,17,0.3613,39923032.0,99.8,41657,1940689,0.001334,0.517,26.07,45.33
40000000,EC3,C3_Populacao,MILP,25,4236651.0,39954488.0,99.9,61615,4236651,0.03816,1.0,0.0,0.0
40000000,,C3_Populacao,Heuristica_Gulosa,5,2247675.0,39993640.0,100.0,36607,2247675,0.001344,0.111,88.49,68.31
40000000,EC4,C4_Vulnerabilidade,MILP,24,16.4106,38768472.0,96.9,52577,3411785,0.039442,1.0,0.0,0.0
40000000,,C4_Vulnerabilidade,Heuristica_Gulosa,17,13.3945,39848440.0,99.6,41359,2444146,0.001253,0.64,22.52,27.12
40000000,EC5,FO_Agregada_SAW,MILP,26,8.9237,39715168.0,99.3,67374,4156698,0.036361,1.0,0.0,0.0
40000000,,FO_Agregada_SAW,Heuristica_Gulosa,6,3.3807,39939240.0,99.8,38562,2231373,0.001698,0.143,163.96,74.72
60000000,EC1,C1_CasosAbsolutos,MILP,28,81459.0,59700384.0,99.5,81459,4848488,0.053371,1.0,0.0,0.0
60000000,,C1_CasosAbsolutos,Heuristica_Gulosa,11,60033.0,59948952.0,99.9,60033,3623939,0.002025,0.3,35.69,35.69
