Orcamento_RS,Metodo,N_RAs,SAW_total,Custo_usado_RS,Uso_orcamento_pct,Jaccard_vs_MILP,Ganho_pct_MILP,Ganho_pct_Casos_MILP
50000000,MILP,28,9.5509,47461592.0,94.9,1.0,0.0,0.0
50000000,H1_CasosAbsolutos,11,5.4231,49967280.0,99.9,0.3,76.12,24.79
50000000,H2_CasosRelativos,16,6.4713,49978824.0,100.0,0.467,47.59,35.63
50000000,H3_Populacao,9,4.1966,49996200.0,100.0,0.233,127.59,45.88
50000000,H4_Vulnerabilidade,24,8.5732,49542384.0,99.1,0.733,11.4,29.0
75000000,MILP,30,10.8329,70982408.0,94.6,1.0,0.0,0.0
75000000,H1_CasosAbsolutos,12,5.8137,74943624.0,99.9,0.312,86.33,38.84
75000000,H2_CasosRelativos,30,10.7085,72794760.0,97.1,0.935,1.16,5.09
75000000,H3_Populacao,17,6.6631,74983728.0,100.0,0.516,62.58,24.5
75000000,H4_Vulnerabilidade,28,10.5392,74591848.0,99.5,0.871,2.79,5.95
100000000,MILP,32,11.7418,96195624.0,96.2,1.0,0.0,0.0
100000000,H1_CasosAbsolutos,32,11.7418,96195624.0,96.2,1.0,0.0,0.0
100000000,H2_CasosRelativos,32,11.7418,96195624.0,96.2,1.0,0.0,0.0
100000000,H3_Populacao,32,11.7418,96195624.0,96.2,1.0,0.0,0.0
100000000,H4_Vulnerabilidade,32,11.7418,96195624.0,96.2,1.0,0.0,0.0
