orcamento,n_ras,custo_total,casos_cobertos,pop_atendida,casos_relativos
75512.0,1,75512.0,90,35348,0.002546112934253706
5134465.263157895,12,4965936.0,16923,869318,0.019466984463683026
10193418.52631579,17,10162392.0,26749,1580978,0.016919274018993305
15252371.789473685,20,14879208.0,35755,2231648,0.01602179196719196
20311325.05263158,22,19925976.0,43854,2806643,0.015625072372938063
25370278.315789476,24,25298312.0,50951,3370743,0.015115658476484264
30429231.57894737,25,30099048.0,55554,3566114,0.015578301759281953
35488184.84210526,26,34462968.0,58447,3792793,0.015410015785201037
40547138.10526316,26,39715168.0,67374,4156698,0.01620853860444035
45606091.368421055,27,45563456.0,71061,4394074,0.01617200802717478
50665044.63157895,28,47461592.0,73154,4542749,0.0161034651044995
55723997.89473684,28,54473184.0,78355,5052919,0.01550687830143329
60782951.15789474,29,60588312.0,81962,4955501,0.016539599124286323
65841904.421052635,28,65701768.0,85070,5316996,0.015999635884623574
70900857.68421052,29,70576160.0,88479,5483645,0.0161350707421797
75959810.94736843,30,70982408.0,90050,5625043,0.016008766510762672
81018764.21052632,30,79806352.0,90891,5642600,0.016107999858221388
86077717.4736842,31,83188856.0,93778,5801972,0.016163125227077964
91136670.73684211,31,83188856.0,93778,5801972,0.016163125227077964
96195624.0,32,96195624.0,98620,6207737,0.01588662664027165
