orcamento,n_ras,custo_total,casos_cobertos,pop_atendida,casos_relativos
75512.0,1,75512.0,90,35348,0.002546112934253706
2540130.2564102565,8,2463656.0,9863,421985,0.023372868703863882
5004748.512820513,12,4965936.0,16923,869318,0.019466984463683026
7469366.76923077,14,7365152.0,23325,1139799,0.02046413446581371
9933985.025641026,17,9930856.0,27688,1577286,0.017554203866641815
12398603.282051282,19,12395256.0,31818,1951549,0.016303971870550008
14863221.53846154,20,14817520.0,35880,2280561,0.015732970966354332
17327839.794871796,21,17232016.0,40430,2585475,0.01563735870584709
19792458.051282052,22,18434088.0,43332,2799366,0.015479219223209826
22257076.307692308,23,21750456.0,47141,2984040,0.015797710486454605
24721694.564102564,24,24696144.0,48318,3174720,0.015219609918355005
27186312.82051282,24,26716544.0,52667,3406742,0.015459638563765615
29650931.07692308,25,28614680.0,54760,3555417,0.015401850190849624
32115549.333333336,26,31997184.0,57647,3714789,0.015518243431861136
34580167.58974359,26,34462968.0,58447,3792793,0.015410015785201037
37044785.84615385,27,36361104.0,60540,3941468,0.015359759358695796
39509404.102564104,27,36361104.0,60540,3941468,0.015359759358695796
41974022.35897436,26,41199536.0,68168,4167395,0.016357460715866867
44438640.615384616,27,44079088.0,70267,4383377,0.016030334602750346
46903258.87179487,28,46755200.0,68628,4611010,0.014883507084131243
49367877.12820513,28,47461592.0,73154,4542749,0.0161034651044995
51832495.384615384,27,51593632.0,76256,4836937,0.015765349021498523
54297113.64102564,28,53491768.0,78349,4985612,0.01571502154600077
56761731.897435896,28,55957552.0,79149,5063616,0.015630924619876387
59226350.15384616,29,57855688.0,81242,5212291,0.01558662016376292
61690968.410256416,29,60588312.0,81962,4955501,0.016539599124286323
64155586.66666667,29,60588312.0,81962,4955501,0.016539599124286323
66620204.92307693,29,66618488.0,87157,5398364,0.016145076545412647
69084823.17948718,29,69084272.0,87957,5476368,0.016061192381520015
71549441.43589744,30,70982408.0,90050,5625043,0.016008766510762672
74014059.6923077,30,70982408.0,90050,5625043,0.016008766510762672
76478677.94871795,30,70982408.0,90050,5625043,0.016008766510762672
78943296.20512821,30,78824936.0,90885,5575293,0.01630138541597724
81407914.46153846,30,81290720.0,91685,5653297,0.016217969797093626
83872532.71794872,31,83188856.0,93778,5801972,0.016163125227077964
86337150.97435898,31,83188856.0,93778,5801972,0.016163125227077964
88801769.23076923,31,83188856.0,93778,5801972,0.016163125227077964
91266387.48717949,31,83188856.0,93778,5801972,0.016163125227077964
93731005.74358974,31,92813120.0,95733,6048365,0.015827913824645174
96195624.0,32,96195624.0,98620,6207737,0.01588662664027165
