Rank,ID_RA,Nome_RA,area_km2,SAW
1,XVIII,Campo Grande,138.7561,0.7468
2,XIX,Santa Cruz,164.084,0.6632
3,XVI,Jacarepaguá,129.9262,0.6188
4,XXIX,Complexo do Alemão,2.9609,0.5183
5,XVII,Bangu,62.0761,0.5165
6,XXVI,Guaratiba,152.5806,0.4944
7,XV,Madureira,30.1812,0.4551
8,XI,Penha,13.4227,0.4243
9,XXIV,Barra Da Tijuca,162.5846,0.4145
10,XII,Inhaúma,10.8819,0.4089
11,XIII,Méier,29.4101,0.4044
12,VII,São Cristóvão,7.5033,0.3983
13,XXXIII,Realengo,54.549,0.3673
14,XXV,Pavuna,17.4848,0.3646
15,XX,Ilha Do Governador,41.4546,0.3497
16,III,Rio Comprido,5.7972,0.3493
17,X,Ramos,11.3015,0.3486
18,I,Portuária,8.5089,0.3485
19,XXVII,Rocinha,1.4372,0.3171
20,XXIII,Santa Teresa,5.1571,0.3072
21,XIV,Irajá,15.8941,0.3045
22,XXXIV,Cidade De Deus,1.273,0.2976
23,II,Centro,5.7231,0.2962
24,XXII,Anchieta,14.1884,0.2883
25,VIII,Tijuca,42.2813,0.2599
26,XXX,Maré,4.2688,0.2594
27,IX,Vila Isabel,12.8849,0.2406
28,XXVIII,Jacarezinho,0.9439,0.2285
29,XXXI,Vigário Geral,11.0991,0.2207
30,IV,Botafogo,15.0259,0.196
31,VI,Lagoa,23.7267,0.1785
32,V,Copacabana,5.0781,0.1558
