Rank,ID_RA,Nome_RA,area_km2,Populacao_2022,casos_absolutos,casos_relativos,IPS_2024,norm_populacao,norm_casos_absolutos,norm_casos_relativos,norm_ips,SAW
1,XVIII,Campo Grande,138.7561,601281,12614,0.020978544141591036,62.45,0.8932135431903121,1.0,0.4553676599622054,0.6385426653883028,0.7468
2,XIX,Santa Cruz,164.084,412752,8808,0.02133969066170485,51.79,0.5982816799613284,0.6961034813158735,0.4642896759414245,0.8940556088207094,0.6632
3,XVI,Jacarepaguá,129.9262,669542,8088,0.012079899393914049,64.01,1.0,0.6386138613861386,0.23552932230593288,0.6011505273250238,0.6188
4,XXIX,Complexo do Alemão,2.9609,54202,2332,0.043024242647872774,53.34,0.03737158357959354,0.17901628872564676,1.0,0.8569031639501437,0.5183
5,XVII,Bangu,62.0761,422702,5526,0.013073039635487884,57.47,0.6138473066772627,0.43404663046949854,0.26006455277730733,0.7579098753595398,0.5165
6,XXVI,Guaratiba,152.5806,176929,3728,0.02107059894081807,47.37,0.22936381171692774,0.290482274033855,0.4576418460443766,1.0,0.4944
7,XV,Madureira,30.1812,304914,4550,0.014922240369415639,58.67,0.42958157405249137,0.356116256786969,0.30574849981267593,0.7291466922339405,0.4551
8,XI,Penha,13.4227,133759,3721,0.027818688835891416,63.18,0.161829328769502,0.289923347173427,0.6243513739503292,0.6210450623202302,0.4243
9,XXIV,Barra Da Tijuca,162.5846,405765,4842,0.011933015415326605,69.93,0.5873513247990939,0.3794314915362504,0.23190059786568226,0.45925215723873425,0.4145
10,XII,Inhaúma,10.8819,123797,3306,0.02670500900668029,62.56,0.14624492943843287,0.2567869690194826,0.5968382492805295,0.6359060402684563,0.4089
11,XIII,Méier,29.4101,353827,4675,0.013212671729404483,68.99,0.5061003177265112,0.36609709358032577,0.26351412159149146,0.4817833173537873,0.4044
12,VII,São Cristóvão,7.5033,82122,2270,0.027641801222571295,59.13,0.0810492014598837,0.1740657936761418,0.6199814187530018,0.7181208053691275,0.3983
13,XXXIII,Realengo,54.549,226679,2893,0.012762540861747228,60.48,0.3071919452965995,0.22381028425423188,0.2523937741139298,0.6857622243528285,0.3673
14,XXV,Pavuna,17.4848,206728,1845,0.008924770713207693,52.18,0.2759809082504079,0.14013094857872885,0.15758281877356245,0.8847075743048897,0.3646
15,XX,Ilha Do Governador,41.4546,184674,3809,0.02062553472605781,71.83,0.24147997040184346,0.29694985627595016,0.44664666870023867,0.41371045062320233,0.3497
16,III,Rio Comprido,5.7972,80096,2025,0.025282161406312426,63.92,0.07787975827129245,0.15450335356116257,0.5616872279652058,0.6033077660594439,0.3493
17,X,Ramos,11.3015,131402,2500,0.019025585607525,62.52,0.15814207428010932,0.19243053337591823,0.40712040773283786,0.6368648130393095,0.3486
18,I,Portuária,8.5089,47344,942,0.019896924636701587,52.76,0.026643034030058084,0.06802938358351965,0.4286465759461736,0.8708053691275168,0.3485
19,XXVII,Rocinha,1.4372,70894,1194,0.016842045871300816,57.24,0.06348429123209366,0.08815075055892686,0.3531767163698073,0.7634228187919463,0.3171
20,XXIII,Santa Teresa,5.1571,36252,1038,0.0286329030122476,68.25,0.009290880107129057,0.07569466624081762,0.6444662898843586,0.49952061361457334,0.3072
21,XIV,Irajá,15.8941,189076,2289,0.012106242992235927,65.82,0.24836639138712419,0.17558288086873203,0.23618013296611542,0.557766059443912,0.3045
22,XXXIV,Cidade De Deus,1.273,30313,317,0.010457559462936694,48.34,0.0,0.01812519961673587,0.19544990306261958,0.9767497603068072,0.2976
23,II,Centro,5.7231,32758,597,0.018224555833689482,57.66,0.0038249203337145216,0.040482274033855,0.3873312084911049,0.7533557046979866,0.2962
24,XXII,Anchieta,14.1884,142720,1672,0.011715246636771301,63.03,0.17584777912141034,0.1263174704567231,0.22652068579721446,0.6246404602109299,0.2883
25,VIII,Tijuca,42.2813,159372,2887,0.018114850789348193,79.51,0.2018979113901278,0.22333120408815074,0.3846209784207571,0.22962607861936712,0.2599
26,XXX,Maré,4.2688,124832,826,0.006616893104332222,58.62,0.14786406749380895,0.05876716703928457,0.10056739772511973,0.7303451581975072,0.2594
27,IX,Vila Isabel,12.8849,156680,2167,0.013830737809548124,75.74,0.1976865880615554,0.16584158415841585,0.27878325790081276,0.31999041227229164,0.2406
28,XXVIII,Jacarezinho,0.9439,35348,90,0.002546112934253706,51.28,0.007876676433641152,0.0,0.0,0.9062799616490891,0.2285
29,XXXI,Vigário Geral,11.0991,107013,503,0.004700363507237439,60.86,0.11998829840323265,0.032976684765250716,0.0532201114089252,0.676653883029722,0.2207
30,IV,Botafogo,15.0259,213891,2902,0.01356765829324282,89.09,0.2871865951012861,0.22452890450335355,0.2722839577066936,0.0,0.196
31,VI,Lagoa,23.7267,148675,2093,0.01407768622835043,85.58,0.18516368938205244,0.15993292877674864,0.284884044190828,0.08413231064237792,0.1785
32,V,Copacabana,5.0781,141398,1571,0.01111048246792741,84.1,0.17377966268739373,0.11825295432769084,0.21158016919917572,0.1196069031639504,0.1558
