objectid_1,objectid,nomera,codra,codap,codapnum,cod_ap_sms,sum_area,shape_leng,st_areashape,st_perimetershape
1,1,Portuária,1,1,1,AP 1  ,8508944.21846665,28198.68201573,8508944.21846665,28198.6820157299
2,2,Centro,2,1,1,AP 1  ,5723080.28892631,22240.46751141,5723080.28892631,22240.4675114097
3,3,Rio Comprido,3,1,1,AP 1  ,5797238.11651456,15453.1905116,5797238.11651456,15453.1905115981
4,4,Botafogo,4,2,2,AP 2.1,15025866.1940704,40309.14998691,15025866.1940704,40309.1499869072
5,5,Copacabana,5,2,2,AP 2.1,5078062.64120574,16732.52551771,5078062.64120574,16732.5255177087
6,6,Lagoa,6,2,2,AP 2.1,23726743.3239339,61856.17731638,23726743.3239339,61856.1773163824
7,7,São Cristóvão,7,1,1,AP 1  ,7503280.25705869,16336.38701906,7503280.25705869,16336.3870190644
8,8,Tijuca,8,2,2,AP 2.2,42281256.602911,49737.2833274,42281256.602911,49737.2833273964
9,9,Vila Isabel,9,2,2,AP 2.2,12884867.4294671,23206.08615186,12884867.4294671,23206.0861518597
10,10,Ramos,10,3,3,AP 3.1,11301463.8222576,25657.17180755,11301463.8222576,25657.1718075456
12,12,Inhaúma,12,3,3,AP 3.2,10881851.9970707,22377.5246374,10881851.9970707,22377.5246374037
13,13,Méier,13,3,3,AP 3.2,29410139.4781634,31508.0997677,29410139.4781634,31508.0997676982
15,15,Madureira,15,3,3,AP 3.3,30181176.039339,31814.44801567,30181176.039339,31814.4480156684
19,19,Santa Cruz,19,5,5,AP 5.3,164084003.984484,69515.46606319,164084003.984484,69515.4660631934
20,20,Ilha do Governador,20,3,3,AP 3.1,41454577.5324624,83429.46739268,41454577.5324624,83429.467392679
21,21,Paquetá,21,1,1,AP 1  ,1705689.14614591,24841.45808537,1705689.14614591,24841.4580853726
22,22,Anchieta,22,3,3,AP 3.3,14188432.7151047,23278.50126391,14188432.7151047,23278.5012639116
23,23,Santa Teresa,23,1,1,AP 1  ,5157142.33923167,27344.8391115,5157142.33923167,27344.8391115048
24,24,Barra da Tijuca,24,4,4,AP 4  ,173557633.933168,101584.80478884,162584569.162365,105960.123855513
25,25,Pavuna,25,3,3,AP 3.3,17484777.8379058,20893.91463474,17484777.8379058,20893.9146347386
26,26,Guaratiba,26,5,5,AP 5.2,152580555.249147,77689.5394955,152580555.249147,77689.5394954982
27,27,Rocinha,27,2,2,AP 2.1,1437198.55767722,6120.75351462,1437198.55767722,6120.75351461635
28,28,Jacarezinho,28,3,3,AP 3.2,943876.68645451,6319.11496366,943876.686454507,6319.11496366092
29,29,Complexo do Alemão,29,3,3,AP 3.1,2960863.12263651,11998.45226103,2960863.12263651,11998.4522610343
30,30,Complexo da Maré,30,3,3,AP 3.1,4268772.78494279,13082.6388164,4268772.78494279,13082.6388163981
32,32,Realengo,33,5,5,AP 5.1,54549011.4397487,42472.06127266,54549011.4397487,42472.0612726605
38,38,Jacarepaguá,16,4,4,AP 4  ,118953106.700604,69756.04814468,129926171.471407,74131.3672113503
39,39,Cidade de Deus,34,4,4,AP 4  ,1273028.18162949,7243.93443167,1273028.18162949,7243.93443166759
40,40,Bangu,17,5,5,AP 5.1,62076128.59521,39263.75508582,62076128.59521,39263.7550858212
41,41,Campo Grande,18,5,5,AP 5.2,138756103.553207,64024.96997473,138756103.553207,64024.9699747294
43,11,Penha,11,3,3,AP 3.1,13422670.924449,20761.519802,13422670.9244486,20761.5198023135
44,14,Irajá,14,3,3,AP 3.3,15894109.250169,23032.596296,15894109.2501692,23032.5962960821
45,31,Vigário Geral,31,3,3,AP 3.1,11099141.530976,18391.800312,11099141.5309762,18391.8003124309
